id,user_login,description,place_guess,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
63231103,kinga_mazur,"","Łukowska, Warszawa, Mazowieckie, PL","",Parthenocissus quinquefolia,Virginia creeper,Plantae,50278
63231129,kinga_mazur,"","Łukowska, Warszawa, Mazowieckie, PL","",Sonchus arvensis,Perennial Sow Thistle,Plantae,79156
63231160,kinga_mazur,"","Marii Rodziewiczówny, Warszawa, Mazowieckie, PL","",Acer platanoides,Norway maple,Plantae,54763
63231180,kinga_mazur,"","Łukowska, Warszawa, Mazowieckie, PL","",Juglans regia,Persian walnut,Plantae,63935
63232283,kinga_mazur,"","Łukowska, Warszawa, Mazowieckie, PL","",Robinia pseudoacacia,black locust,Plantae,56088
63232338,kinga_mazur,"","Łukowska, Warszawa, Mazowieckie, PL","",Salix × sepulcralis,Weeping Willow,Plantae,181864
63232368,kinga_mazur,"","Łukowska, Warszawa, Mazowieckie, PL",mustavaris,Corvus frugilegus,Rook,Aves,8029
63232384,kinga_mazur,"","Łukowska, Warszawa, Mazowieckie, PL","",Liquidambar formosana,Chinese Sweetgum,Plantae,135413
63232803,kinga_mazur,"","Dęblińska, Warszawa, Mazowieckie, PL",Eurasian Jackdaw,Corvus monedula,Eurasian Jackdaw,Aves,8000
63232880,kinga_mazur,"","Dęblińska, Warszawa, Mazowieckie, PL","",Pyrus communis,Common Pear,Plantae,63951
63232992,kinga_mazur,"","Marii Rodziewiczówny, Warszawa, Mazowieckie, PL",Harakka,Pica pica,Eurasian Magpie,Aves,891696
63233181,kinga_mazur,"","Łukowska, Warszawa, Mazowieckie, PL",Spitzahorn,Acer platanoides,Norway maple,Plantae,54763
63233221,kinga_mazur,"","Łukowska, Warszawa, Mazowieckie, PL","",Acer platanoides,Norway maple,Plantae,54763
63233353,kinga_mazur,"","Witolińska, Warszawa, Mazowieckie, PL","",Chenopodium album,common lamb's-quarters,Plantae,58127
63233376,kinga_mazur,"","Dęblińska, Warszawa, Mazowieckie, PL","",Tilia cordata,Small-leaved Lime,Plantae,132600
63233428,kinga_mazur,"","Dęblińska, Warszawa, Mazowieckie, PL","",Fraxinus pennsylvanica,green ash,Plantae,54808
63233454,kinga_mazur,"","Grochowska, Warszawa, Mazowieckie, PL","",Polypodium vulgare,common polypody,Plantae,127079
63233465,kinga_mazur,"","Łukowska, Warszawa, Mazowieckie, PL","",Cornus sericea,red osier dogwood,Plantae,53387
63233482,kinga_mazur,"","Grochowska, Warszawa, Mazowieckie, PL","",Geranium pusillum,Small-flowered Crane's-bill,Plantae,60204
63233496,kinga_mazur,"","Grochowska, Warszawa, Mazowieckie, PL","",Betula pendula,silver birch,Plantae,83992
63233536,kinga_mazur,"","Dęblińska, Warszawa, Mazowieckie, PL",Feral Pigeon,Columba livia domestica,Feral Pigeon,Aves,122767
63233569,kinga_mazur,"","Dęblińska, Warszawa, Mazowieckie, PL","",Plantago lanceolata,ribwort plantain,Plantae,53178
63233588,kinga_mazur,"","Dęblińska, Warszawa, Mazowieckie, PL","",Achillea millefolium,common yarrow,Plantae,52821
63233634,kinga_mazur,"","Dęblińska, Warszawa, Mazowieckie, PL",Дуб красный,Quercus rubra,northern red oak,Plantae,49005
63233673,kinga_mazur,"","Dęblińska, Warszawa, Mazowieckie, PL",stinging nettle,Urtica dioica,stinging nettle,Plantae,51884
63233711,kinga_mazur,"","Dęblińska, Warszawa, Mazowieckie, PL","",Trifolium repens,white clover,Plantae,55745
63233801,kinga_mazur,"","Dęblińska, Warszawa, Mazowieckie, PL","",Isoetes,quillworts,Plantae,60115
63233911,kinga_mazur,"","Dęblińska, Warszawa, Mazowieckie, PL","",Prunus padus,Bird Cherry,Plantae,143793
63233950,kinga_mazur,"","Dęblińska, Warszawa, Mazowieckie, PL","",Cornus sericea,red osier dogwood,Plantae,53387
63233986,kinga_mazur,"","Dęblińska, Warszawa, Mazowieckie, PL","",Medicago sativa,alfalfa,Plantae,57057
63234036,kinga_mazur,"","Dęblińska, Warszawa, Mazowieckie, PL","",Cornus sericea,red osier dogwood,Plantae,53387
63234109,kinga_mazur,"","Łukowska, Warszawa, Mazowieckie, PL","",Salix babylonica,Chinese weeping willow,Plantae,58316
63234146,kinga_mazur,"","Łukowska, Warszawa, Mazowieckie, PL",spruces,Picea glauca,white spruce,Plantae,117326
63234166,kinga_mazur,"","Łukowska, Warszawa, Mazowieckie, PL","",Laburnum anagyroides,Common Laburnum,Plantae,51810
63234287,kinga_mazur,"","Grochowska, Warszawa, Mazowieckie, PL","",Columba livia,Rock Pigeon,Aves,3017
